record_id,text,true_label,predicted_label,probability,source,parent_id,model_name
UgzLTmwEGVhsobiD8xZ4AaABAg,It wouldn't hurt as much if Missing Link actually released.,general_discussion,confusion_barrier,0.4673429652147665,youtube,yt:gNVWtjbGWdw,logistic
UgxlYg31rbrsu_fDWEl4AaABAg,"i freakling love you man, i laughed my butt off",general_discussion,confusion_barrier,0.4655445671182507,youtube,yt:gNVWtjbGWdw,logistic
UgzMhZOBgn8VVw_dYpZ4AaABAg,Kudos to you for still sticking to this franchise. The nail in the coffin for me was all the mobile game stuff being canon. And IMPORTANT canon too.,general_discussion,frustrated_demand,0.5425760529487432,youtube,yt:gNVWtjbGWdw,logistic
UgyHQ8lsQegYb5s4Fpx4AaABAg,How many Kingdom Hearts fans died while waiting for KH3? How many have died since the KH4 trailer dropped?,frustrated_demand,general_discussion,0.4179803149758059,youtube,yt:gNVWtjbGWdw,logistic
UgxNpliR45TFBdRADsh4AaABAg,my first impression of you btw,general_discussion,confusion_barrier,0.4707756762686563,youtube,yt:gNVWtjbGWdw,logistic
Ugzz5OUC3UCIVfUKyLp4AaABAg,I was 7 when the very first kh3 teaser was revealed I was 9 when the 2015 trailer dropped I was 13 when kh3 actually dropped I was 16 when kh4 was revealed I’m now 20 and kh4 still isn’t out,general_discussion,frustrated_demand,0.505867857452819,youtube,yt:gNVWtjbGWdw,logistic
UgzsB3v_k_sRBZwH8AN4AaABAg,"honestly, im convinced we will either get a (kh4 is restarting development) announcement, or they will slowly wait until everyone forgets. atp the game doesn't even exist to me unless we get a release date.",general_discussion,frustrated_demand,0.4623952144979251,youtube,yt:gNVWtjbGWdw,logistic
UgzOwvv6XSdU63c_w2h4AaABAg,4 years ahhhh well wait 4 more year then finally will we have something took 13 years sinch kingdom hearts twos game just for kingdom hearts 3 I can gladly wait another 13 years,frustrated_demand,general_discussion,0.44137662168959,youtube,yt:gNVWtjbGWdw,logistic
UgwUaOPGqfm4_-10EHt4AaABAg,"It's crazy that we're getting all the 7 Remake Project being completed in between KH3 and KH4. Starting to get to me ngl. Starting to hate FF7 because of this. Like, where's the other game? I mean. looking at Capcom with Street Fighter, Dragon's Dogma 2, Monster Hunter, Resident Evil 9 and now Pragmata... WHERE THE F*** IS SQUARE ENIX LIKE WHERE IS NIER, WHERE IS DRAGON""S QUEST, WHERE IS KINGDOM HEARTS, LIKE H O L Y S * * *",frustrated_demand,confusion_barrier,0.4914498905865897,youtube,yt:gNVWtjbGWdw,logistic
UgzNgy9QOS5aZsbdXa54AaABAg,I know I'm not buying it. Try being 42. I was in high-school when the first one released. I barely felt like buying the 3rd one. I stopped caring about that franchise after they completely butchered KH iii game.,high_intent,frustrated_demand,0.5457882558541646,youtube,yt:gNVWtjbGWdw,logistic
UgxzvoM_PNHB24ai25Z4AaABAg,"KH4 isn't out yet and we're talking about verum rex lmao. People need to stop being a b*tch, grow up and let go of versus13 already (and by people I include that petty a** nomura) 🤭 Versus13 isn't even a real, finished game. All we know so far are just speculations not yet proven and a bunch of trailers that loosely connected. Verum rex is even worse considering nomura tried to force his dream versus13 into KH world, which doesn't make any sense. Then again, KH stop making sense since KH2 lol",general_discussion,frustrated_demand,0.5041388831331527,youtube,yt:mU1zHAA9j8k,logistic
UgzWmbCg9uWoEPP-pFV4AaABAg,I’m 40. I remember being a teenager when KH1 came out. I am ancient. 😂,nostalgia_reactivation,frustrated_demand,0.5319423540778465,youtube,yt:gNVWtjbGWdw,logistic
